step,condition,true_friction,true_effective_thrust,true_gravity,pred_x,pred_v,actual_x,actual_v,error_E_t,alignment_lambda,learned_polarity
31,A_to_B_zero_shot,0.71,-0.85,4.2,-59.5076,-1.288,-60.4424,-2.2228,1.3253,1.0,1.0
32,A_to_B_zero_shot,0.71,-0.85,4.2,-61.5547,-1.1124,-62.8643,-2.4219,1.8406,1.0,1.0
33,A_to_B_zero_shot,0.71,-0.85,4.2,-64.548,-1.6837,-65.0315,-2.1672,0.6812,1.0,1.0
34,A_to_B_zero_shot,0.71,-0.85,4.2,-66.1973,-1.1658,-67.3114,-2.28,1.5759,1.0,1.0
35,A_to_B_zero_shot,0.71,-0.85,4.2,-68.8053,-1.4939,-69.4427,-2.1313,0.9023,1.0,1.0
36,A_to_B_zero_shot,0.71,-0.85,4.2,-70.8866,-1.4439,-71.3875,-1.9448,0.71,1.0,1.0
37,A_to_B_zero_shot,0.71,-0.85,4.2,-72.5629,-1.1753,-73.3045,-1.9169,1.0508,1.0,1.0
38,A_to_B_zero_shot,0.71,-0.85,4.2,-74.2181,-0.9136,-75.4388,-2.1343,1.7321,1.0,1.0
39,A_to_B_zero_shot,0.71,-0.85,4.2,-76.5855,-1.1468,-77.6856,-2.2468,1.554,1.0,1.0
40,A_to_B_zero_shot,0.71,-0.85,4.2,-78.9067,-1.2211,-80.0369,-2.3513,1.6017,1.0,1.0
1,A_to_C_zero_shot,0.12,0.51,15.7,0.542,0.542,0.3252,0.3252,0.2987,1.0,1.0
2,A_to_C_zero_shot,0.12,0.51,15.7,1.283,0.9578,0.7672,0.442,0.7188,1.0,1.0
3,A_to_C_zero_shot,0.12,0.51,15.7,1.7821,1.0149,1.1958,0.4286,0.8329,1.0,1.0
4,A_to_C_zero_shot,0.12,0.51,15.7,2.4014,1.2056,1.7443,0.5485,0.9305,1.0,1.0
5,A_to_C_zero_shot,0.12,0.51,15.7,2.6761,0.9318,2.0796,0.3353,0.85,1.0,1.0
6,A_to_C_zero_shot,0.12,0.51,15.7,2.9305,0.8508,2.4533,0.3737,0.677,1.0,1.0
7,A_to_C_zero_shot,0.12,0.51,15.7,3.4616,1.0083,2.9058,0.4525,0.7864,1.0,1.0
8,A_to_C_zero_shot,0.12,0.51,15.7,3.8361,0.9303,3.2794,0.3735,0.7909,1.0,1.0
9,A_to_C_zero_shot,0.12,0.51,15.7,4.3367,1.0573,3.7614,0.482,0.8132,1.0,1.0
10,A_to_C_zero_shot,0.12,0.51,15.7,4.9119,1.1505,4.255,0.4937,0.9278,1.0,1.0
11,A_to_C_zero_shot,0.12,0.51,15.7,5.4385,1.1835,4.7637,0.5087,0.9521,1.0,1.0
12,A_to_C_zero_shot,0.12,0.51,15.7,5.642,0.8783,5.0831,0.3194,0.7908,1.0,1.0
13,A_to_C_zero_shot,0.12,0.51,15.7,6.2053,1.1222,5.6261,0.543,0.8193,1.0,1.0
14,A_to_C_zero_shot,0.12,0.51,15.7,6.5546,0.9285,5.9616,0.3355,0.8386,1.0,1.0
15,A_to_C_zero_shot,0.12,0.51,15.7,7.068,1.1063,6.4885,0.5269,0.8279,1.0,1.0
16,A_to_C_zero_shot,0.12,0.51,15.7,7.7763,1.2877,7.0462,0.5577,1.0324,1.0,1.0
17,A_to_C_zero_shot,0.12,0.51,15.7,8.3058,1.2596,7.5744,0.5282,1.0387,1.0,1.0
18,A_to_C_zero_shot,0.12,0.51,15.7,8.7368,1.1623,8.0563,0.4819,0.9644,1.0,1.0
19,A_to_C_zero_shot,0.12,0.51,15.7,9.1979,1.1416,8.5447,0.4884,0.9245,1.0,1.0
20,A_to_C_zero_shot,0.12,0.51,15.7,9.4497,0.905,8.8884,0.3438,0.7861,1.0,1.0
21,A_to_C_zero_shot,0.12,0.51,15.7,9.7842,0.8957,9.2856,0.3972,0.7118,1.0,1.0
22,A_to_C_zero_shot,0.12,0.51,15.7,10.1409,0.8553,9.6368,0.3511,0.7106,1.0,1.0
23,A_to_C_zero_shot,0.12,0.51,15.7,10.5482,0.9114,10.0404,0.4036,0.7219,1.0,1.0
24,A_to_C_zero_shot,0.12,0.51,15.7,10.8633,0.8229,10.3694,0.3291,0.6973,1.0,1.0
25,A_to_C_zero_shot,0.12,0.51,15.7,11.4289,1.0594,10.8708,0.5014,0.7864,1.0,1.0
26,A_to_C_zero_shot,0.12,0.51,15.7,11.9355,1.0647,11.3051,0.4343,0.8877,1.0,1.0
27,A_to_C_zero_shot,0.12,0.51,15.7,12.2255,0.9204,11.6802,0.3751,0.7697,1.0,1.0
28,A_to_C_zero_shot,0.12,0.51,15.7,12.6695,0.9894,12.1207,0.4406,0.7721,1.0,1.0
29,A_to_C_zero_shot,0.12,0.51,15.7,13.3255,1.2048,12.6639,0.5431,0.9332,1.0,1.0
30,A_to_C_zero_shot,0.12,0.51,15.7,13.6247,0.9609,13.0188,0.3549,0.853,1.0,1.0
31,A_to_C_zero_shot,0.12,0.51,15.7,13.9675,0.9487,13.4432,0.4244,0.7497,1.0,1.0
32,A_to_C_zero_shot,0.12,0.51,15.7,14.4403,0.9971,13.8683,0.4251,0.8115,1.0,1.0
33,A_to_C_zero_shot,0.12,0.51,15.7,14.8573,0.989,14.2883,0.42,0.8024,1.0,1.0
34,A_to_C_zero_shot,0.12,0.51,15.7,15.272,0.9837,14.7071,0.4189,0.8062,1.0,1.0
35,A_to_C_zero_shot,0.12,0.51,15.7,15.6886,0.9815,15.1251,0.418,0.7974,1.0,1.0
36,A_to_C_zero_shot,0.12,0.51,15.7,15.9505,0.8253,15.4498,0.3247,0.71,1.0,1.0
37,A_to_C_zero_shot,0.12,0.51,15.7,16.2595,0.8097,15.8031,0.3533,0.6449,1.0,1.0
38,A_to_C_zero_shot,0.12,0.51,15.7,16.6219,0.8187,16.1502,0.3471,0.6597,1.0,1.0
39,A_to_C_zero_shot,0.12,0.51,15.7,16.8943,0.7441,16.4551,0.3049,0.6203,1.0,1.0
40,A_to_C_zero_shot,0.12,0.51,15.7,17.2529,0.7978,16.8094,0.3543,0.6347,1.0,1.0
1,A_to_B_prime_adapt,0.71,-0.85,4.2,0.6204,0.6204,-0.6204,-0.6204,1.7561,0.6,1.0
2,A_to_B_prime_adapt,0.71,-0.85,4.2,-0.4965,0.1239,-1.7308,-1.1104,1.7468,0.28,1.0
3,A_to_B_prime_adapt,0.71,-0.85,4.2,-2.0957,-0.3649,-3.1313,-1.4006,1.4658,0.024,1.0
4,A_to_B_prime_adapt,0.71,-0.85,4.2,-3.8217,-0.6904,-4.6678,-1.5365,1.1965,-0.1808,1.0
5,A_to_B_prime_adapt,0.71,-0.85,4.2,-5.3044,-0.6366,-6.4743,-1.8065,1.6558,-0.3446,1.0
6,A_to_B_prime_adapt,0.71,-0.85,4.2,-7.2469,-0.7726,-8.5739,-2.0996,1.8762,-0.4757,1.0
7,A_to_B_prime_adapt,0.71,-0.85,4.2,-9.7621,-1.1882,-10.7241,-2.1502,1.3601,-0.5806,-1.0
8,A_to_B_prime_adapt,0.71,-0.85,4.2,-13.2172,-2.4931,-12.7042,-1.9801,0.7268,-0.2645,-1.0
9,A_to_B_prime_adapt,0.71,-0.85,4.2,-15.3557,-2.6515,-14.954,-2.2498,0.5678,-0.4116,-1.0
10,A_to_B_prime_adapt,0.71,-0.85,4.2,-17.4931,-2.5391,-17.105,-2.151,0.5489,-0.5293,-1.0
11,A_to_B_prime_adapt,0.71,-0.85,4.2,-19.6376,-2.5326,-19.3221,-2.2171,0.4476,-0.6234,-1.0
